lotsizesquarefeet,propertyzip,buildingareasqft,propertycountylandusedescription,yearbuilt,yearremodeled,totalbedrooms,salespriceamount,holc_grade,TotalPopCT,TotalWhiteCT,TractNonWhite,Census_Tract_num,redlined,TotalCalculatedBathCount,BuildingConditionStndCode,Renovated,Single_family,Townhome,Condo,BC_Excellent,BC_Good,BC_Average,BC_Fair,BC_Poor,BC_NA,holc_grade_A,holc_grade_B,holc_grade_C,holc_grade_D,holc_grade_NA,Home_Age
25870,98125,2940,SINGLE FAMILY(RES USE/ZONE),1947,NA,5,74999000,,6377,3962,37.870472,1,0,3,AV,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,67
NA,98125,881,CONDOMINIUM-FLAT,1986,1986,2,179000,,6377,3962,37.870472,1,0,1.5,GD,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,28
9071,98125,1610,SINGLE FAMILY(RES USE/ZONE),1926,NA,4,330000,,6377,3962,37.870472,1,0,NA,GD,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,88
7201,98125,1640,SINGLE FAMILY(RES USE/ZONE),1948,NA,3,405000,,6377,3962,37.870472,1,0,NA,GD,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,66
8433,98125,2520,SINGLE FAMILY(RES USE/ZONE),2014,NA,4,689950,,6377,3962,37.870472,1,0,2.5,AV,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
959,NA,1347,TOWNHOUSE PLAT,2010,NA,3,101796,,6377,3962,37.870472,1,0,2,AV,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4
NA,98125,1026,CONDOMINIUM-FLAT,1980,1980,2,115800,,6377,3962,37.870472,1,0,NA,AV,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,34
10261,98125,3170,SINGLE FAMILY(RES USE/ZONE),2014,NA,4,800000,,6377,3962,37.870472,1,0,2.5,AV,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18600,98125,1198,CONDOMINIUM; RESIDENTIAL,1969,1984,3,266000,,6377,3962,37.870472,1,0,1.5,AV,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,45
NA,98125,877,CONDOMINIUM-FLAT,1986,1986,2,140000,,6377,3962,37.870472,1,0,1.5,GD,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,28
8100,98125,1240,SINGLE FAMILY(RES USE/ZONE),1925,NA,2,436000,,6377,3962,37.870472,1,0,NA,AV,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,89
8147,98125,1170,SINGLE FAMILY(RES USE/ZONE),1959,NA,4,350000,,6377,3962,37.870472,1,0,NA,GD,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,55
7945,98125,1410,SINGLE FAMILY(RES USE/ZONE),1946,NA,4,395000,,6377,3962,37.870472,1,0,1.5,AV,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,68
5001,98125,2610,SINGLE FAMILY(RES USE/ZONE),2014,NA,3,355000,,6377,3962,37.870472,1,0,2.5,AV,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7654,98125,1250,SINGLE FAMILY(RES USE/ZONE),1952,NA,3,275000,,6377,3962,37.870472,1,0,NA,EX,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,62
1865,98125,2100,TOWNHOUSE PLAT,2013,NA,4,394000,,6377,3962,37.870472,1,0,3,AV,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
6450,98125,1370,SINGLE FAMILY(RES USE/ZONE),1948,NA,3,357000,,6377,3962,37.870472,1,0,NA,GD,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,66
9886,98125,1670,SINGLE FAMILY(RES USE/ZONE),1947,NA,3,456000,,6377,3962,37.870472,1,0,NA,GD,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,67
22814,98125,1820,SINGLE FAMILY(RES USE/ZONE),1920,NA,4,229000,,6377,3962,37.870472,1,0,1.5,GD,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,94
